Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02907,4,SABO ONE LLC,GETT,2016,15,04/03/2016,04/09/2016,"35,108","1,720"
B02908,4,SABO TWO LLC,GETT,2016,28,07/03/2016,07/09/2016,185,7
B02907,4,SABO ONE LLC,GETT,2016,20,05/08/2016,05/14/2016,"29,281","1,567"
B02907,4,SABO ONE LLC,GETT,2016,46,11/06/2016,11/12/2016,"43,485","3,640"
B02908,4,SABO TWO LLC,GETT,2017,15,04/09/2017,04/15/2017,789,33
B02908,4,SABO TWO LLC,GETT,2016,47,11/13/2016,11/19/2016,283,12
B02908,4,SABO TWO LLC,GETT,2016,15,04/03/2016,04/09/2016,297,10
B02907,4,SABO ONE LLC,GETT,2016,49,11/27/2016,12/03/2016,"59,597","4,350"
B02907,4,SABO ONE LLC,GETT,2017,6,02/05/2017,02/11/2017,520,22
B02907,4,SABO ONE LLC,GETT,2017,11,03/12/2017,03/18/2017,"82,264","6,237"
B02907,4,SABO ONE LLC,GETT,2016,30,07/17/2016,07/23/2016,"25,479","2,110"
B02907,4,SABO ONE LLC,GETT,2016,22,05/22/2016,05/28/2016,"30,901","1,837"
B02907,4,SABO ONE LLC,GETT,2017,14,04/02/2017,04/08/2017,"81,837","6,815"
B02908,4,SABO TWO LLC,GETT,2016,36,08/28/2016,09/03/2016,199,7
B02907,4,SABO ONE LLC,GETT,2017,13,03/26/2017,04/01/2017,"86,640","7,177"
B02908,4,SABO TWO LLC,GETT,2016,48,11/20/2016,11/26/2016,308,12
B02908,4,SABO TWO LLC,GETT,2016,22,05/22/2016,05/28/2016,185,7
B02907,4,SABO ONE LLC,GETT,2017,1,01/01/2017,01/07/2017,"53,116","5,089"
B02908,4,SABO TWO LLC,GETT,2016,52,12/18/2016,12/24/2016,581,21
B02908,4,SABO TWO LLC,GETT,2016,41,10/02/2016,10/08/2016,242,6
B02908,4,SABO TWO LLC,GETT,2017,6,02/05/2017,02/11/2017,"71,942","5,841"
B02907,4,SABO ONE LLC,GETT,2016,18,04/24/2016,04/30/2016,"34,000","1,617"
B02908,4,SABO TWO LLC,GETT,2016,29,07/10/2016,07/16/2016,220,6
B02907,4,SABO ONE LLC,GETT,2016,21,05/15/2016,05/21/2016,"32,935","1,781"
B02908,4,SABO TWO LLC,GETT,2017,13,03/26/2017,04/01/2017,91,15
B02908,4,SABO TWO LLC,GETT,2016,26,06/19/2016,06/25/2016,737,48
B02907,4,SABO ONE LLC,GETT,2017,7,02/12/2017,02/18/2017,567,23
B02907,4,SABO ONE LLC,GETT,2016,32,07/31/2016,08/06/2016,"31,880","2,458"
B02907,4,SABO ONE LLC,GETT,2017,4,01/22/2017,01/28/2017,"65,356","5,682"
B02907,4,SABO ONE LLC,GETT,2016,24,06/05/2016,06/11/2016,"26,911","1,824"
B02908,4,SABO TWO LLC,GETT,2016,40,09/25/2016,10/01/2016,231,7
B02907,4,SABO ONE LLC,GETT,2016,14,03/27/2016,04/02/2016,"13,199","1,367"
B02907,4,SABO ONE LLC,GETT,2016,36,08/28/2016,09/03/2016,"17,730","2,267"
B02908,4,SABO TWO LLC,GETT,2016,42,10/09/2016,10/15/2016,188,8
B02908,4,SABO TWO LLC,GETT,2016,31,07/24/2016,07/30/2016,836,79
B02907,4,SABO ONE LLC,GETT,2016,23,05/29/2016,06/04/2016,"28,860","1,803"
B02908,4,SABO TWO LLC,GETT,2017,14,04/02/2017,04/08/2017,777,36
B02908,4,SABO TWO LLC,GETT,2016,16,04/10/2016,04/16/2016,230,7
B02907,4,SABO ONE LLC,GETT,2017,3,01/15/2017,01/21/2017,"58,719","5,371"
B02908,4,SABO TWO LLC,GETT,2016,45,10/30/2016,11/05/2016,323,12
B02908,4,SABO TWO LLC,GETT,2016,17,04/17/2016,04/23/2016,334,7
B02907,4,SABO ONE LLC,GETT,2016,40,09/25/2016,10/01/2016,"41,025","2,942"
B02907,4,SABO ONE LLC,GETT,2016,38,09/11/2016,09/17/2016,"31,640","2,559"
B02907,4,SABO ONE LLC,GETT,2016,53,12/25/2016,12/31/2016,"53,668","4,785"
B02907,4,SABO ONE LLC,GETT,2016,51,12/11/2016,12/17/2016,"81,996","4,428"
B02907,4,SABO ONE LLC,GETT,2017,15,04/09/2017,04/15/2017,"77,930","6,798"
B02908,4,SABO TWO LLC,GETT,2016,50,12/04/2016,12/10/2016,556,19
B02907,4,SABO ONE LLC,GETT,2017,16,04/16/2017,04/22/2017,"82,846","7,148"
B02908,4,SABO TWO LLC,GETT,2016,33,08/07/2016,08/13/2016,275,25
B02908,4,SABO TWO LLC,GETT,2017,17,04/23/2017,04/29/2017,762,37
B02907,4,SABO ONE LLC,GETT,2016,39,09/18/2016,09/24/2016,"37,880","2,692"
B02908,4,SABO TWO LLC,GETT,2017,2,01/08/2017,01/14/2017,429,21
B02907,4,SABO ONE LLC,GETT,2016,19,05/01/2016,05/07/2016,"30,288","1,499"
B02908,4,SABO TWO LLC,GETT,2017,9,02/26/2017,03/04/2017,"27,494","4,771"
B02907,4,SABO ONE LLC,GETT,2016,48,11/20/2016,11/26/2016,"52,314","3,973"
B02907,4,SABO ONE LLC,GETT,2016,28,07/03/2016,07/09/2016,"1,801",644
B02908,4,SABO TWO LLC,GETT,2016,21,05/15/2016,05/21/2016,322,6
B02908,4,SABO TWO LLC,GETT,2016,46,11/06/2016,11/12/2016,309,12
B02908,4,SABO TWO LLC,GETT,2016,53,12/25/2016,12/31/2016,315,19
B02908,4,SABO TWO LLC,GETT,2017,4,01/22/2017,01/28/2017,472,24
B02907,4,SABO ONE LLC,GETT,2017,9,02/26/2017,03/04/2017,"49,877","5,640"
B02908,4,SABO TWO LLC,GETT,2016,25,06/12/2016,06/18/2016,717,41
B02907,4,SABO ONE LLC,GETT,2016,52,12/18/2016,12/24/2016,"79,313","4,776"
B02907,4,SABO ONE LLC,GETT,2016,47,11/13/2016,11/19/2016,"52,124","3,828"
B02907,4,SABO ONE LLC,GETT,2017,8,02/19/2017,02/25/2017,503,24
B02907,4,SABO ONE LLC,GETT,2016,37,09/04/2016,09/10/2016,"4,984","1,679"
B02908,4,SABO TWO LLC,GETT,2017,3,01/15/2017,01/21/2017,527,22
B02907,4,SABO ONE LLC,GETT,2016,34,08/14/2016,08/20/2016,"35,837","2,612"
B02907,4,SABO ONE LLC,GETT,2016,33,08/07/2016,08/13/2016,"32,341","2,465"
B02908,4,SABO TWO LLC,GETT,2016,39,09/18/2016,09/24/2016,238,7
B02907,4,SABO ONE LLC,GETT,2017,17,04/23/2017,04/29/2017,"88,361","7,184"
B02908,4,SABO TWO LLC,GETT,2017,7,02/12/2017,02/18/2017,"71,251","5,863"
B02908,4,SABO TWO LLC,GETT,2016,44,10/23/2016,10/29/2016,332,11
B02907,4,SABO ONE LLC,GETT,2017,5,01/29/2017,02/04/2017,"27,257","4,547"
B02908,4,SABO TWO LLC,GETT,2016,51,12/11/2016,12/17/2016,664,20
B02908,4,SABO TWO LLC,GETT,2016,49,11/27/2016,12/03/2016,397,16
B02908,4,SABO TWO LLC,GETT,2016,35,08/21/2016,08/27/2016,190,5
B02908,4,SABO TWO LLC,GETT,2016,18,04/24/2016,04/30/2016,345,9
B02908,4,SABO TWO LLC,GETT,2017,8,02/19/2017,02/25/2017,"68,630","6,047"
B02908,4,SABO TWO LLC,GETT,2016,34,08/14/2016,08/20/2016,167,7
B02908,4,SABO TWO LLC,GETT,2017,1,01/01/2017,01/07/2017,395,20
B02907,4,SABO ONE LLC,GETT,2016,45,10/30/2016,11/05/2016,"52,624","3,958"
