Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,14,03/27/2016,04/02/2016,"169,829","7,738"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,14,03/29/2015,04/04/2015,"11,588","1,501"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,8,02/19/2017,02/25/2017,"390,819","16,847"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,9,02/26/2017,03/04/2017,"426,841","17,042"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,4,01/17/2016,01/23/2016,"120,265","7,696"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,30,07/17/2016,07/23/2016,"212,514","9,748"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,47,11/13/2016,11/19/2016,"242,957","11,640"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,10,03/05/2017,03/11/2017,"447,353","16,905"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,12,03/13/2016,03/19/2016,"160,243","7,053"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,34,08/14/2016,08/20/2016,"276,033","10,932"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,53,12/27/2015,12/31/2015,"60,022","5,003"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,7,02/07/2016,02/13/2016,"167,236","7,571"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,2,01/03/2016,01/09/2016,"123,038","7,636"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,15,04/09/2017,04/15/2017,"381,488","17,195"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,46,11/06/2016,11/12/2016,"237,766","11,527"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,52,12/18/2016,12/24/2016,"270,805","12,574"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,7,02/12/2017,02/18/2017,"422,329","16,391"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,52,12/20/2015,12/26/2015,"113,122","5,392"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,25,06/14/2015,06/20/2015,"27,221","2,162"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,41,10/02/2016,10/08/2016,"246,549","11,038"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,21,05/17/2015,05/23/2015,"21,957","1,918"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,23,05/31/2015,06/06/2015,"25,142","2,104"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,8,02/14/2016,02/20/2016,"174,555","7,416"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,35,08/23/2015,08/29/2015,"77,175","4,026"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,31,07/26/2015,08/01/2015,"55,566","3,079"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,39,09/20/2015,09/26/2015,"102,572","4,472"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,6,01/31/2016,02/06/2016,"135,204","7,574"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,31,07/24/2016,07/30/2016,"212,450","9,717"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,36,08/30/2015,09/05/2015,"86,082","4,247"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,12,03/19/2017,03/25/2017,"411,683","16,929"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,19,05/03/2015,05/09/2015,"22,032","1,895"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,48,11/22/2015,11/28/2015,"101,286","5,479"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,24,06/05/2016,06/11/2016,"289,169","11,189"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,51,12/13/2015,12/19/2015,"134,759","5,348"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,27,06/26/2016,07/02/2016,"202,405","10,639"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,20,05/08/2016,05/14/2016,"218,363","9,145"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,51,12/11/2016,12/17/2016,"298,563","12,015"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,10,02/28/2016,03/05/2016,"152,428","6,988"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,22,05/22/2016,05/28/2016,"238,887","10,819"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,18,04/26/2015,05/02/2015,"20,732","1,831"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,40,09/27/2015,10/03/2015,"101,327","4,573"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,33,08/09/2015,08/15/2015,"68,096","3,603"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2016,29,07/10/2016,07/16/2016,"215,653","10,370"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2017,11,03/12/2017,03/18/2017,"430,670","16,486"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,22,05/24/2015,05/30/2015,"23,072","1,964"
B02510,3,"TRI-CITY,LLC",LYFT-TRI-CITY,2015,17,04/19/2015,04/25/2015,"19,030","1,734"
