Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,29,7/10/16,7/16/16,"16,451",387
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,40,9/25/16,10/1/16,"2,270",48
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,49,11/27/16,12/3/16,"58,249","1,313"
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,24,6/5/16,6/11/16,"254,477","5,206"
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,52,12/18/16,12/24/16,"55,708","2,116"
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,36,8/28/16,9/3/16,"9,967",264
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,37,9/4/16,9/10/16,"231,095","5,215"
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2015,31,7/26/15,8/1/15,"1,755",112
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,49,11/27/16,12/3/16,"27,707",509
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,22,5/24/15,5/30/15,"69,494","1,816"
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,48,11/20/16,11/26/16,"24,522",581
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,23,5/29/16,6/4/16,"57,224","1,450"
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,14,3/27/16,4/2/16,"5,333",142
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,36,8/28/16,9/3/16,"69,101","1,695"
B02512,1,UNTER LLC,UBER-UNTER LLC,2017,13,3/26/17,4/1/17,"9,367",355
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,6,1/31/16,2/6/16,"22,253",541
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,12,3/13/16,3/19/16,"1,519",33
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,38,9/11/16,9/17/16,"77,210","3,113"
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2017,7,2/12/17,2/18/17,"51,612","1,080"
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,42,10/9/16,10/15/16,"9,872",508
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,40,9/25/16,10/1/16,"71,883","2,831"
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,53,12/25/16,12/31/16,"32,065",720
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,32,7/31/16,8/6/16,"295,695","7,624"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,37,9/4/16,9/10/16,"5,316",98
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,51,12/11/16,12/17/16,"175,555","3,351"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2017,17,4/23/17,4/29/17,"45,053",983
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,22,5/22/16,5/28/16,"70,120","1,630"
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,48,11/20/16,11/26/16,"55,050","1,329"
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2017,4,1/22/17,1/28/17,"111,798","2,255"
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2015,47,11/15/15,11/21/15,"10,954",235
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2017,2,1/8/17,1/14/17,"129,085","2,920"
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2015,42,10/11/15,10/17/15,"1,411",35
B02617,1,WEITER LLC,UBER-WEITER LLC,2017,9,2/26/17,3/4/17,"50,767","1,221"
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2017,12,3/19/17,3/25/17,"114,083","2,743"
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2015,47,11/15/15,11/21/15,"139,620","2,925"
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2015,49,11/29/15,12/5/15,206,5
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2015,36,8/30/15,9/5/15,"19,183",515
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,25,6/14/15,6/20/15,"218,150","5,880"
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,34,8/16/15,8/22/15,"62,076","1,592"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,24,6/7/15,6/13/15,"214,796","5,791"
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,39,9/18/16,9/24/16,"11,340",261
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2017,9,2/26/17,3/4/17,"76,043","1,563"
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2015,43,10/18/15,10/24/15,32,1
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2017,16,4/16/17,4/22/17,"308,111","8,451"
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2015,51,12/13/15,12/19/15,"18,181",377
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,14,3/27/16,4/2/16,"14,723",703
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2015,50,12/6/15,12/12/15,"17,236",376
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,16,4/10/16,4/16/16,"3,194",57
B02395,3,ABATAR INC,UBER-ABATAR LLC,2017,12,3/19/17,3/25/17,"40,871","1,698"
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2015,44,10/25/15,10/31/15,"8,339",225
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2015,49,11/29/15,12/5/15,"6,913",226
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,3,1/10/16,1/16/16,"2,209",59
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,31,7/24/16,7/30/16,"100,866","2,206"
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,17,4/17/16,4/23/16,"1,350",31
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2015,37,9/6/15,9/12/15,50,1
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,22,5/22/16,5/28/16,"1,614",40
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,42,10/9/16,10/15/16,"5,988",136
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,30,7/17/16,7/23/16,"28,241",606
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2015,36,8/30/15,9/5/15,61,2
B02765,1,GRUN LLC,UBER-GRUN LLC,2015,12,3/15/15,3/21/15,"49,745","1,219"
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2017,16,4/16/17,4/22/17,"132,106","3,074"
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,22,5/22/16,5/28/16,"1,150",29
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,43,10/16/16,10/22/16,"21,427",492
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2017,17,4/23/17,4/29/17,"37,779",740
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,16,4/10/16,4/16/16,"267,215","5,620"
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2017,11,3/12/17,3/18/17,"37,536",832
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,15,4/3/16,4/9/16,"5,245",112
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2015,34,8/16/15,8/22/15,"107,787","2,480"
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2015,40,9/27/15,10/3/15,328,8
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,33,8/7/16,8/13/16,"108,462","2,348"
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,20,5/8/16,5/14/16,"9,716",201
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,19,5/1/16,5/7/16,"126,401","2,593"
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,46,11/6/16,11/12/16,"59,323","1,341"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,29,7/10/16,7/16/16,"296,189","7,494"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2015,43,10/18/15,10/24/15,46,1
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,26,6/19/16,6/25/16,"1,964",48
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,9,2/21/16,2/27/16,"71,631","1,595"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,38,9/11/16,9/17/16,"18,514",395
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2015,40,9/27/15,10/3/15,76,2
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2015,44,10/25/15,10/31/15,265,9
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,53,12/25/16,12/31/16,"11,134",318
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,19,5/1/16,5/7/16,"8,734",207
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2017,12,3/19/17,3/25/17,"194,425","4,316"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,30,7/17/16,7/23/16,"306,439","7,522"
